"FPR","TPR"
1,1
0.999417079568639,1
0.366802681433984,0.918404351767906
0.365636840571262,0.917044424297371
0.315068493150685,0.901631912964642
0.313902652287963,0.901178603807797
0.311425240454678,0.898912058023572
0.290294374817837,0.885312783318223
0.288254153308073,0.882592928377153
0.271495190906441,0.867633726201269
0.27076654036724,0.867633726201269
0.127951034683766,0.729374433363554
0.122850480909356,0.71985494106981
0.121538909938793,0.717588395285585
0.117021276595745,0.70988213961922
0.116438356164384,0.706708975521306
0.115272515301661,0.702175883952856
0.114252404546779,0.700362647325476
0.111046342174293,0.692656391659112
0.0705333721946955,0.624206708975521
0.0680559603614107,0.621033544877607
0.0632468668026814,0.612420670897552
0.0590206936753134,0.602447869446963
0.0578548528125911,0.597008159564823
0.048965316234334,0.573436083408885
0.0365782570679102,0.522665457842248
0.0351209559895075,0.520398912058024
0.0339551151267852,0.513599274705349
0.0330807344797435,0.510426110607434
0.0313319731856602,0.50181323662738
0.0300204022150976,0.49818676337262
0.0297289419994171,0.49456029011786
0.00247741183328476,0.259746146872167
0.00247741183328476,0.258386219401632
0.00233168172544451,0.252493200362647
0.00218595161760415,0.238893925657298
0.00145730107840281,0.202175883952856
0.000874380647041706,0.157751586582049
0.000874380647041706,0.13599274705349
0.000437190323520853,0.0847688123300091
0.000437190323520853,0.000906618313689937
0,0
