"FPR","TPR"
1,1
0.367385601865345,0.918404351767906
0.366219761002623,0.917044424297371
0.315651413582046,0.901631912964642
0.314485572719324,0.901178603807797
0.297726610317692,0.886219401631913
0.29699795977849,0.886219401631913
0.268726318857476,0.854487760652765
0.125910813174002,0.71622846781505
0.120810259399592,0.706708975521306
0.119498688429029,0.704442429737081
0.114981055085981,0.696736174070716
0.113815214223259,0.692203082502267
0.112795103468377,0.690389845874887
0.10958904109589,0.682683590208522
0.0690760711162927,0.614233907524932
0.0665986592830079,0.611060743427017
0.0617895657242786,0.602447869446963
0.0575633925969106,0.592475067996374
0.0486738560186535,0.568902991840435
0.0362867968522297,0.518132366273799
0.0348294957738269,0.515865820489574
0.0330807344797435,0.507252946509519
0.031769163509181,0.50362647325476
0.0310405129699796,0.497733454215775
0.00233168172544451,0.253853127833182
0.00233168172544451,0.252493200362647
0.00218595161760415,0.238893925657298
0.00145730107840281,0.202175883952856
0.000874380647041706,0.157751586582049
0.000874380647041706,0.13599274705349
0.000437190323520853,0.0847688123300091
0.000437190323520853,0.000906618313689937
0,0
