"FPR","TPR","AUC"
1,1,0.888744575418039
0.996065287088312,0.99909338168631,0.888744575418039
0.702127659574468,0.99456029011786,0.888744575418039
0.653016613232294,0.990480507706256,0.888744575418039
0.652579422908773,0.988667271078876,0.888744575418039
0.606237248615564,0.985040797824116,0.888744575418039
0.488050131157097,0.971441523118767,0.888744575418039
0.487612940833576,0.971441523118767,0.888744575418039
0.487030020402215,0.971441523118767,0.888744575418039
0.486738560186534,0.971441523118767,0.888744575418039
0.475517341882833,0.968721668177697,0.888744575418039
0.475080151559312,0.968268359020852,0.888744575418039
0.471291168755465,0.968268359020852,0.888744575418039
0.471145438647625,0.967815049864007,0.888744575418039
0.4685222967065,0.967815049864007,0.888744575418039
0.429029437481784,0.959202175883953,0.888744575418039
0.428737977266103,0.959202175883953,0.888744575418039
0.428009326726902,0.958295557570263,0.888744575418039
0.427426406295541,0.957388939256573,0.888744575418039
0.42684348586418,0.957388939256573,0.888744575418039
0.425240454677936,0.956482320942883,0.888744575418039
0.390119498688429,0.945602901178604,0.888744575418039
0.389682308364908,0.944696282864914,0.888744575418039
0.387642086855144,0.944242973708069,0.888744575418039
0.387059166423783,0.942883046237534,0.888744575418039
0.378606820169047,0.941069809610154,0.888744575418039
0.378023899737686,0.939709882139619,0.888744575418039
0.377295249198484,0.938803263825929,0.888744575418039
0.375255027688721,0.938803263825929,0.888744575418039
0.373651996502477,0.938349954669084,0.888744575418039
0.35426989215972,0.932003626473255,0.888744575418039
0.353395511512679,0.932003626473255,0.888744575418039
0.304575925386185,0.912058023572076,0.888744575418039
0.303993004954824,0.911604714415231,0.888744575418039
0.3020985135529,0.910244786944696,0.888744575418039
0.301078402798018,0.909791477787851,0.888744575418039
0.300641212474497,0.909338168631006,0.888744575418039
0.298746721072574,0.906618313689937,0.888744575418039
0.292188866219761,0.897552130553037,0.888744575418039
0.292188866219761,0.896645512239347,0.888744575418039
0.2916059457884,0.896645512239347,0.888744575418039
0.282133488778782,0.893019038984587,0.888744575418039
0.274846983386768,0.886672710788758,0.888744575418039
0.273681142524046,0.885312783318223,0.888744575418039
0.273243952200525,0.884406165004533,0.888744575418039
