"FPR","TPR"
1,1
0.998251238705917,0.99909338168631
0.365636840571262,0.917497733454216
0.36447099970854,0.916137805983681
0.313902652287963,0.900725294650952
0.31273681142524,0.900271985494107
0.310259399591956,0.898005439709882
0.289128533955115,0.884406165004533
0.288254153308073,0.883499546690843
0.28621393179831,0.880779691749773
0.269454969396677,0.865820489573889
0.264500145730108,0.85675430643699
0.121684640046634,0.718495013599275
0.120373069076071,0.71622846781505
0.115855435733022,0.708522212148685
0.115272515301661,0.705349048050771
0.114106674438939,0.700815956482321
0.113086563684057,0.699002719854941
0.109880501311571,0.691296464188577
0.107257359370446,0.684950135992747
0.104925677645001,0.681776971894832
0.0644127076654036,0.613327289211242
0.0596036141066745,0.604714415231188
0.0553774409793063,0.594741613780598
0.0537744097930632,0.589301903898459
0.052608568930341,0.583862194016319
0.0502768872048965,0.575249320036265
0.0378898280384727,0.524478694469628
0.0371611774992714,0.523572076155938
0.0357038764208686,0.521305530371713
0.0345380355581463,0.514505893019039
0.0336636549111047,0.511332728921124
0.0319148936170213,0.50271985494107
0.031769163509181,0.502266545784225
0.0304575925386185,0.498640072529465
0.030166132322938,0.495013599274705
0.00291460215680561,0.260199456029012
0.00291460215680561,0.258839528558477
0.00276887204896537,0.252946509519492
0.00262314194112501,0.239347234814143
0.00189449140192366,0.202629193109701
0.00131157097056256,0.158204895738894
0.00131157097056256,0.136446056210335
0.000874380647041706,0.085222121486854
0.000874380647041706,0.0013599274705349
0,0
