"FPR","TPR"
1,1
0.365636840571262,0.910698096101541
0.36447099970854,0.909338168631006
0.313902652287963,0.893925657298277
0.31273681142524,0.893472348141433
0.295977849023608,0.878513145965549
0.295249198484407,0.878513145965549
0.266977557563393,0.846781504986401
0.124162051879918,0.708522212148685
0.119061498105509,0.699002719854941
0.117749927134946,0.696736174070716
0.112795103468377,0.689029918404352
0.111629262605654,0.684496826835902
0.108423200233168,0.676790571169538
0.0679102302535703,0.608340888485947
0.0654328184202856,0.605167724388033
0.0606237248615564,0.596554850407978
0.0563975517341883,0.586582048957389
0.0475080151559312,0.563009972801451
0.0351209559895075,0.512239347234814
0.0336636549111047,0.509972801450589
0.0319148936170213,0.501359927470535
0.0306033226464587,0.497733454215775
0.00189449140192366,0.253853127833182
0.00189449140192366,0.252493200362647
0.00174876129408341,0.238893925657298
0.00102011075488195,0.202175883952856
0.000437190323520853,0.157751586582049
0.000437190323520853,0.13599274705349
0,0.0847688123300091
0,0.000906618313689937
0,0
